"S
No.",Polic e BS No.,Name of Distt.,Name of Police Station,"No of NH
road",name of the location place,Limits high accident prone Location,Unnamed: 7,Number of Accident,Unnamed: 9,Unnamed: 10,Unnamed: 11,Number of fatalities,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
245.0,179.0,DHOLPUR,efu;ka,NH 44,lwvk dk ckx,45 KM,"45.5
KM",3.0,2.0,2.0,7,1.0,1.0,2.0,4,,
246.0,180.0,DHOLPUR,efu;ka,NH 44,guksrkpkSdh,39 KM,"39.5
KM",3.0,5.0,3.0,11,3.0,2.0,4.0,9,,
247.0,181.0,DHOLPUR,ljeFkqjk,NH 11 B,cFkqvk [kksg,113.5 KM,114 KM,4.0,2.0,2.0,8,4.0,2.0,3.0,9,,
248.0,182.0,DHOLPUR,lnjckMh,NH 11 B,fpykpkSn,140.7 KM,"141.2
KM",3.0,4.0,4.0,11,1.0,4.0,2.0,7,,
249.0,183.0,DHOLPUR,lnjckMh,NH 11 B,xMjiqjk,144.8 KM,"145.3
KM",2.0,2.0,1.0,5,2.0,2.0,1.0,5,,
250.0,184.0,DHOLPUR,lnjckMh,NH 11 B,lquhqij,146.9 KM,"147.4
KM",2.0,4.0,0.0,6,1.0,0.0,0.0,1,30.0711755,-95.8772901
251.0,185.0,DHOLPUR,lnjckMh,NH 11 B,[kkuiqjehuk,156.4 KM,"156.9
KM",3.0,5.0,2.0,10,1.0,2.0,0.0,3,26.8528605,75.7617632
252.0,1.0,JAIPUR EAST,SANGAN ER,NH- 12,GAOSHALA,12 KM,"12.5
KM",12.0,0.0,8.0,20,1.0,0.0,1.0,2,26.8055374,75.8070951
253.0,2.0,JAIPUR EAST,SANGAN ER,NH- 12,B-2 BYPASS CHORAHA,9.00 KM,9.5 KM,9.0,5.0,11.0,25,3.0,1.0,2.0,6,26.8910666,75.86498879999999
254.0,3.0,JAIPUR EAST,SANGAN ER,NH- 12,KHUMBA MARG TONK ROAD,15.0 KM,"15.5
KM",8.0,2.0,2.0,12,2.0,1.0,1.0,4,26.8756752,75.8902421
255.0,4.0,JAIPUR EAST,TRANSPO RT NAGAR,NH- 11,GHAT KI GHUNI & NEAR,362.0 KM,"362.5
KM",4.0,6.0,5.0,15,1.0,1.0,0.0,2,26.888277,75.884136
256.0,5.0,JAIPUR EAST,Khoh Nagoriya n,NH 21,Tilak Hospital Paldi meena,365 KM,"365.5
KM",5.0,3.0,4.0,12,0.0,2.0,2.0,4,45.3119966,9.4987962
257.0,6.0,JAIPUR EAST,Khoh Nagoriya n,NH 21,Prem Nagar puliya,364 KM,"364.5
KM",3.0,8.0,4.0,15,0.0,3.0,2.0,5,28.6296325,77.4199931
258.0,7.0,JAIPUR EAST,BASSI,NH 21,BAINARA MORD,380 KM,"380.5
KM",8.0,11.0,9.0,28,3.0,3.0,4.0,10,26.8419275,76.05211709999999
259.0,8.0,JAIPUR EAST,BASSI,NH 21,BHIHARIPURA MORD,381 KM,"381.5
KM",6.0,4.0,3.0,13,3.0,2.0,2.0,7,23.6913486,85.2722472
260.0,9.0,JAIPUR EAST,BASSI,NH 21,BASSI CHAK,383 KM,383.5K M,4.0,12.0,5.0,21,2.0,3.0,7.0,12,26.8243735,76.14649030000001
261.0,10.0,JAIPUR EAST,BASSI,NH 21,JHAR,389 KM,"389.5
KM",8.0,19.0,13.0,40,3.0,9.0,4.0,16,27.1158939,76.85263669999999
262.0,11.0,JAIPUR EAST,BASSI,NH 21,BANSKHO PHATAK,391 KM,"391.5
KM",8.0,5.0,6.0,19,2.0,1.0,3.0,6,26.8718197,75.95262369999999
263.0,12.0,JAIPUR EAST,BASSI,NH 21,JATWARA,395 KM,"395.5
KM",0.0,13.0,14.0,27,0.0,6.0,7.0,13,26.8622557,75.9557586
264.0,13.0,JAIPUR EAST,KANOTA,NH 21,KANOTA BUS STAND,370.0 KM,"370.5
KM",8.0,12.0,16.0,36,5.0,3.0,6.0,14,26.5376417,76.30625189999999
265.0,14.0,JAIPUR EAST,KANOTA,NH 21,DAYARAPURA SAHID KI PULIYA,373.0 KM,"373.5
KM",9.0,8.0,6.0,23,7.0,4.0,4.0,15,26.8622557,75.9557586
266.0,15.0,JAIPUR EAST,KANOTA,NH 21,MALI KI KHOTI BAGRANA,369.0 KM,"369.5
KM",13.0,6.0,11.0,30,7.0,2.0,6.0,15,29.2096083,75.1897208
